,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Temp,Wind Speed
78,saint-francois,0,FR,1539268200,41,46.42,3.91,78.8,78.8,13.87
79,bluff,20,AU,1539268960,85,-23.58,149.07,67.46,67.46,7.76
80,castro,0,CL,1539268960,76,-42.48,-73.76,50.72,50.72,6.64
81,butaritari,80,KI,1539268961,100,3.07,172.79,84.74,84.74,7.09
82,mahebourg,40,MU,1539266400,64,-20.41,57.7,73.4,73.4,18.34
83,caravelas,8,BR,1539268962,99,-17.73,-39.27,78.71,78.71,11.23
84,casino,92,AU,1539268962,100,-28.86,153.05,57.74,57.74,4.41
85,buriti bravo,64,BR,1539268962,57,-5.84,-43.84,85.55,85.55,2.73
86,yantal,48,RU,1539268962,70,56.85,105.25,37.04,37.04,5.97
87,namibe,0,AO,1539268963,100,-15.19,12.15,69.98,69.98,11.23
88,mikhaylovka,12,RU,1539268963,95,52.96,103.29,38.75,38.75,4.29
89,la malbaie,92,CA,1539268964,100,47.66,-70.15,40.73,40.73,9.89
90,acapulco,75,MX,1539265380,88,16.86,-99.88,78.8,78.8,2.24
91,qaqortoq,20,GL,1539265800,40,60.72,-46.03,37.4,37.4,5.82
92,aklavik,90,CA,1539267120,92,68.22,-135.01,21.2,19.2,4.7
93,provideniya,92,RU,1539268965,100,64.42,-173.23,40.1,40.1,20.85
94,pevek,0,RU,1539268965,100,69.7,170.27,28.49,28.49,7.65
95,nazas,0,MX,1539268966,61,25.22,-104.11,60.89,60.89,3.51
96,progreso,0,UY,1539266400,50,-34.68,-56.22,57.2,56.26,14.99
97,esperance,40,TT,1539266400,59,10.24,-61.45,89.6,89.6,11.41
98,hilo,90,US,1539266160,90,19.71,-155.08,71.96,59.45,3.36
99,new norfolk,75,AU,1539266400,81,-42.78,147.06,50.0,50.0,2.24
100,kieta,24,PG,1539268967,99,-6.22,155.63,78.26,78.26,3.29
101,zarinsk,20,RU,1539268968,79,53.71,84.95,33.44,33.44,6.2
102,cockburn town,56,TC,1539268682,100,21.46,-71.14,81.95,81.95,11.79
103,mount isa,80,AU,1539266400,46,-20.73,139.49,69.8,69.8,3.36
104,tautira,90,PF,1539266400,83,-17.73,-149.15,75.2,75.2,2.24
105,abu kamal,88,SY,1539268914,36,34.45,40.92,82.13,82.13,8.43
106,buraydah,0,SA,1539266400,16,26.33,43.97,96.8,96.8,8.05
107,carnarvon,44,ZA,1539268969,9,-30.97,22.13,79.7,79.7,16.71
108,khartoum,20,SD,1539266400,11,15.59,32.54,102.2,102.2,11.41
109,souillac,92,FR,1539268200,73,45.6,-0.6,69.8,69.8,16.11
110,huilong,0,CN,1539268970,71,28.89,110.18,48.56,48.56,3.18
111,northam,20,GB,1539267600,77,51.04,-4.21,62.6,61.56,13.87
112,the pas,20,CA,1539266400,92,53.82,-101.24,23.0,23.0,5.82
113,taoudenni,8,ML,1539268971,19,22.68,-3.98,101.57,101.57,4.74
114,kuala terengganu,75,MY,1539266400,94,5.33,103.14,78.8,78.8,2.73
115,mar del plata,0,AR,1539268972,42,-46.43,-67.52,61.79,61.79,9.78
116,celestun,8,MX,1539268972,100,20.87,-90.4,81.59,81.59,1.72
117,ambilobe,0,MG,1539268973,53,-13.19,49.05,79.79,79.79,21.41
118,lofthus,0,NO,1539267600,67,59.95,10.8,62.6,62.6,6.93
119,orotukan,56,RU,1539268973,95,62.26,151.67,16.88,16.88,2.73
120,bathsheba,20,BB,1539266400,66,13.22,-59.52,86.0,86.0,13.87
121,masterton,48,NZ,1539268974,97,-40.95,175.66,52.97,52.97,8.88
122,santiago,90,CL,1539266400,67,-33.44,-70.65,57.2,56.3,8.05
123,kenora,90,CA,1539267300,92,49.76,-94.48,30.2,28.51,11.41
124,darhan,0,MN,1539268975,66,49.49,105.92,31.64,31.64,4.74
125,cherskiy,80,RU,1539268976,99,68.75,161.3,25.07,25.07,2.84
126,kantang,76,TH,1539268976,100,7.42,99.52,79.16,79.16,3.29
127,sao filipe,44,CV,1539268976,89,14.9,-24.5,82.22,82.22,11.68
128,torbay,75,CA,1539266400,55,47.66,-52.73,39.2,39.2,21.92
129,maracaibo,75,CO,1539266400,78,3.41,-75.78,71.6,71.6,2.24
